T020701,0,0,1,6,2,4,6,6,1,3,4,3,2,4,1,3,3,1,2,3,2,3,2,3,2,2,4,1,2,4,1,2,2,4,2,2,5,3,2,2,5,3,1,7,2,3,2,1,4,1,5,5,4,4,2,2,3,1,2,1,1,4,1,1,3,1,0
T020801,1,1,0,0,0,2,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,2,1,1,1,1,0,1,2,1,0,0,4,1,3,1,1,1,1,0,1,1,0,1,1,1,1,1,2,2,2,2,1,1,2,2,1,2,0,4,1,0,1,0,3,2,1
T020901,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,2,0,1,0,0,3,1,1,1,1,1,4,2,2,1,1,2,1,1,2,1,2,1,3,3,1,2,4,4,2,2,4,2,3,2,1,2,3,4,6,2,3,3,3,4,3,3,3,5
T020902,3,7,3,5,3,3,2,3,8,3,4,4,9,7,6,6,5,4,4,6,5,5,9,7,6,5,8,4,6,10,6,4,6,6,7,6,7,8,6,7,6,7,8,11,5,7,6,7,7,8,8,8,8,9,10,5,12,11,7,3,17,14,8,6,3,11,8
T020903,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,3,1,1,3,2,1,1,2,4,2,3,2,5,6,2,5,4,7
T020904,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,2,2,1,3,2,2,2,2,3,1,2,2,2,3,3,2,2,3,2,4,3,4,1,3,4,3,4,5,5,4,3,3,3,2,2,3,2,4,4,3,3
T020905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T030101,0,1,1,3,1,8,14,10,22,21,23,23,27,24,31,36,34,31,27,31,36,26,26,24,20,17,16,16,13,11,10,6,7,6,6,3,3,3,3,2,1,1,4,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
T030102,0,0,0,0,0,0,1,1,1,1,3,1,2,2,2,1,3,3,2,3,4,4,3,4,3,2,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T030103,1,1,2,4,4,5,14,7,18,25,19,13,24,17,23,22,27,21,26,25,26,23,19,18,16,14,12,13,10,11,7,3,4,4,4,1,2,2,1,2,1,1,2,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0
T030104,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T030105,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T030108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
